,Read number,Strand,Location of the gene in the read,Read length,Start,End
0,NC_030948-7,1,"[0, 742)",741,0,742
1,NC_030948-7,1,"[752, 754)",742,752,754
2,NC_030948-7,1,"[757, 864)",848,757,864
3,NC_030948-7,1,"[918, 1020)",949,918,1020
4,NC_030948-7,1,"[1025, 1028)",951,1025,1028
5,NC_030948-7,1,"[1066, 1632)",1516,1066,1632
6,NC_030948-7,1,"[1701, 1734)",1548,1701,1734
7,NC_030948-7,1,"[1938, 2033)",1642,1938,2033
8,NC_030948-7,1,"[2043, 2044)",1642,2043,2044
9,NC_030948-7,1,"[2052, 2056)",1645,2052,2056
10,NC_030948-7,1,"[2065, 2067)",1646,2065,2067
11,NC_030948-7,1,"[2084, 2137)",1698,2084,2137
12,NC_030948-7,1,"[2201, 2209)",1705,2201,2209
13,NC_030948-7,1,"[2244, 2339)",1799,2244,2339
0,NC_030948-10,1,"[0, 45)",44,0,45
1,NC_030948-10,1,"[102, 421)",362,102,421
2,NC_030948-10,1,"[481, 482)",362,481,482
3,NC_030948-10,1,"[486, 510)",385,486,510
4,NC_030948-10,1,"[641, 651)",394,641,651
5,NC_030948-10,1,"[714, 739)",418,714,739
6,NC_030948-10,1,"[816, 889)",490,816,889
7,NC_030948-10,1,"[957, 1020)",552,957,1020
8,NC_030948-10,1,"[1067, 1077)",561,1067,1077
9,NC_030948-10,1,"[1122, 1395)",833,1122,1395
10,NC_030948-10,1,"[1398, 1411)",845,1398,1411
11,NC_030948-10,1,"[1475, 1530)",899,1475,1530
12,NC_030948-10,1,"[1632, 1734)",1000,1632,1734
13,NC_030948-10,1,"[1767, 1768)",1000,1767,1768
14,NC_030948-10,1,"[1785, 1790)",1004,1785,1790
15,NC_030948-10,1,"[1799, 1802)",1006,1799,1802
16,NC_030948-10,1,"[1803, 1807)",1009,1803,1807
17,NC_030948-10,1,"[1810, 1814)",1012,1810,1814
18,NC_030948-10,1,"[1824, 1924)",1111,1824,1924
19,NC_030948-10,1,"[1938, 2132)",1304,1938,2132
20,NC_030948-10,1,"[2133, 2458)",1628,2133,2458
21,NC_030948-10,1,"[2462, 2466)",1631,2462,2466
22,NC_030948-10,1,"[2487, 2550)",1693,2487,2550
23,NC_030948-10,1,"[2652, 2740)",1780,2652,2740
24,NC_030948-10,1,"[2754, 2856)",1881,2754,2856
25,NC_030948-10,1,"[2950, 2951)",1881,2950,2951
26,NC_030948-10,1,"[2958, 2983)",1905,2958,2983
27,NC_030948-10,1,"[2984, 3050)",1970,2984,3050
28,NC_030948-10,1,"[3068, 3094)",1995,3068,3094
29,NC_030948-10,1,"[3112, 3234)",2116,3112,3234
30,NC_030948-10,1,"[3372, 3451)",2194,3372,3451
31,NC_030948-10,1,"[3468, 3570)",2295,3468,3570
32,NC_030948-10,1,"[3575, 3586)",2305,3575,3586
33,NC_030948-10,1,"[3656, 3666)",2314,3656,3666
34,NC_030948-10,1,"[3672, 3716)",2357,3672,3716
35,NC_030948-10,1,"[3774, 3807)",2389,3774,3807
36,NC_030948-10,1,"[3814, 3978)",2552,3814,3978
37,NC_030948-10,1,"[4054, 4151)",2648,4054,4151
38,NC_030948-10,1,"[4182, 4284)",2749,4182,4284
39,NC_030948-10,1,"[4378, 4384)",2754,4378,4384
40,NC_030948-10,1,"[4488, 4496)",2761,4488,4496
41,NC_030948-10,1,"[4504, 4518)",2774,4504,4518
42,NC_030948-10,1,"[4590, 4692)",2875,4590,4692
0,NC_030948-11,1,"[0, 102)",101,0,102
1,NC_030948-11,1,"[149, 153)",104,149,153
2,NC_030948-11,1,"[154, 229)",178,154,229
3,NC_030948-11,1,"[324, 408)",261,324,408
4,NC_030948-11,1,"[535, 547)",272,535,547
5,NC_030948-11,1,"[552, 557)",276,552,557
6,NC_030948-11,1,"[562, 565)",278,562,565
7,NC_030948-11,1,"[567, 568)",278,567,568
8,NC_030948-11,1,"[570, 573)",280,570,573
9,NC_030948-11,1,"[612, 1632)",1299,612,1632
10,NC_030948-11,1,"[1688, 1741)",1351,1688,1741
11,NC_030948-11,1,"[1760, 1778)",1368,1760,1778
12,NC_030948-11,1,"[1782, 1783)",1368,1782,1783
13,NC_030948-11,1,"[1836, 1922)",1453,1836,1922
14,NC_030948-11,1,"[1937, 2142)",1657,1937,2142
0,NC_030948-12,1,"[0, 306)",305,0,306
1,NC_030948-12,1,"[312, 314)",306,312,314
2,NC_030948-12,1,"[315, 316)",306,315,316
3,NC_030948-12,1,"[331, 477)",451,331,477
4,NC_030948-12,1,"[510, 1001)",941,510,1001
5,NC_030948-12,1,"[1008, 1009)",941,1008,1009
6,NC_030948-12,1,"[1010, 1428)",1358,1010,1428
7,NC_030948-12,1,"[1537, 1603)",1423,1537,1603
8,NC_030948-12,1,"[1605, 1608)",1425,1605,1608
9,NC_030948-12,1,"[1632, 1734)",1526,1632,1734
10,NC_030948-12,1,"[1836, 1917)",1606,1836,1917
11,NC_030948-12,1,"[1938, 2261)",1928,1938,2261
12,NC_030948-12,1,"[2262, 2264)",1929,2262,2264
13,NC_030948-12,1,"[2268, 2513)",2173,2268,2513
14,NC_030948-12,1,"[2514, 2516)",2174,2514,2516
15,NC_030948-12,1,"[2532, 2550)",2191,2532,2550
16,NC_030948-12,1,"[2625, 2652)",2217,2625,2652
17,NC_030948-12,1,"[2827, 2831)",2220,2827,2831
18,NC_030948-12,1,"[2856, 2973)",2336,2856,2973
19,NC_030948-12,1,"[3030, 3060)",2365,3030,3060
20,NC_030948-12,1,"[3160, 3214)",2418,3160,3214
21,NC_030948-12,1,"[3253, 3255)",2419,3253,3255
22,NC_030948-12,1,"[3264, 3425)",2579,3264,3425
23,NC_030948-12,1,"[3430, 3570)",2718,3430,3570
24,NC_030948-12,1,"[3644, 3710)",2783,3644,3710
25,NC_030948-12,1,"[3712, 3720)",2790,3712,3720
26,NC_030948-12,1,"[3774, 4501)",3516,3774,4501
27,NC_030948-12,1,"[4509, 4523)",3529,4509,4523
28,NC_030948-12,1,"[4528, 4529)",3529,4528,4529
29,NC_030948-12,1,"[4554, 4794)",3768,4554,4794
0,NC_030948-13,1,"[3, 15)",11,3,15
1,NC_030948-13,1,"[123, 125)",12,123,125
2,NC_030948-13,1,"[202, 204)",13,202,204
3,NC_030948-13,1,"[529, 548)",31,529,548
4,NC_030948-13,1,"[555, 563)",38,555,563
5,NC_030948-13,1,"[612, 712)",137,612,712
6,NC_030948-13,1,"[713, 1428)",851,713,1428
7,NC_030948-13,1,"[1632, 1658)",876,1632,1658
8,NC_030948-13,1,"[1782, 1789)",882,1782,1789
9,NC_030948-13,1,"[1790, 1836)",927,1790,1836
10,NC_030948-13,1,"[1954, 1995)",967,1954,1995
11,NC_030948-13,1,"[2002, 2010)",974,2002,2010
12,NC_030948-13,1,"[2011, 2013)",975,2011,2013
13,NC_030948-13,1,"[2043, 2053)",984,2043,2053
14,NC_030948-13,1,"[2069, 2243)",1157,2069,2243
0,NC_030948-14,1,"[0, 102)",101,0,102
1,NC_030948-14,1,"[142, 204)",162,142,204
2,NC_030948-14,1,"[207, 216)",170,207,216
3,NC_030948-14,1,"[306, 616)",479,306,616
4,NC_030948-14,1,"[680, 682)",480,680,682
5,NC_030948-14,1,"[683, 1122)",918,683,1122
6,NC_030948-14,1,"[1185, 1186)",918,1185,1186
7,NC_030948-14,1,"[1195, 1201)",923,1195,1201
8,NC_030948-14,1,"[1203, 1216)",935,1203,1216
9,NC_030948-14,1,"[1219, 1224)",939,1219,1224
10,NC_030948-14,1,"[1326, 1363)",975,1326,1363
11,NC_030948-14,1,"[1504, 1556)",1026,1504,1556
12,NC_030948-14,1,"[1559, 1563)",1029,1559,1563
13,NC_030948-14,1,"[1632, 1734)",1130,1632,1734
14,NC_030948-14,1,"[1938, 2035)",1226,1938,2035
15,NC_030948-14,1,"[2040, 2154)",1339,2040,2154
16,NC_030948-14,1,"[2156, 2162)",1344,2156,2162
17,NC_030948-14,1,"[2165, 2179)",1357,2165,2179
18,NC_030948-14,1,"[2199, 2205)",1362,2199,2205
19,NC_030948-14,1,"[2218, 2244)",1387,2218,2244
20,NC_030948-14,1,"[2448, 2786)",1724,2448,2786
21,NC_030948-14,1,"[2979, 2980)",1724,2979,2980
22,NC_030948-14,1,"[2984, 2986)",1725,2984,2986
23,NC_030948-14,1,"[3065, 3135)",1794,3065,3135
24,NC_030948-14,1,"[3145, 3146)",1794,3145,3146
25,NC_030948-14,1,"[3182, 3185)",1796,3182,3185
26,NC_030948-14,1,"[3193, 3203)",1805,3193,3203
27,NC_030948-14,1,"[3267, 3269)",1806,3267,3269
28,NC_030948-14,1,"[3324, 3366)",1847,3324,3366
0,NC_030948-15,1,"[48, 53)",4,48,53
1,NC_030948-15,1,"[102, 153)",54,102,153
2,NC_030948-15,1,"[204, 641)",490,204,641
3,NC_030948-15,1,"[645, 646)",490,645,646
4,NC_030948-15,1,"[701, 714)",502,701,714
5,NC_030948-15,1,"[717, 720)",504,717,720
6,NC_030948-15,1,"[726, 729)",506,726,729
7,NC_030948-15,1,"[730, 732)",507,730,732
8,NC_030948-15,1,"[739, 750)",517,739,750
9,NC_030948-15,1,"[847, 851)",520,847,851
10,NC_030948-15,1,"[855, 856)",520,855,856
11,NC_030948-15,1,"[879, 965)",605,879,965
12,NC_030948-15,1,"[992, 1174)",786,992,1174
13,NC_030948-15,1,"[1181, 1193)",797,1181,1193
14,NC_030948-15,1,"[1205, 1326)",917,1205,1326
15,NC_030948-15,1,"[1333, 1336)",919,1333,1336
16,NC_030948-15,1,"[1354, 1356)",920,1354,1356
17,NC_030948-15,1,"[1358, 1361)",922,1358,1361
18,NC_030948-15,1,"[1376, 1377)",922,1376,1377
19,NC_030948-15,1,"[1379, 1382)",924,1379,1382
20,NC_030948-15,1,"[1383, 1389)",929,1383,1389
21,NC_030948-15,1,"[1391, 1523)",1060,1391,1523
22,NC_030948-15,1,"[1530, 2127)",1656,1530,2127
23,NC_030948-15,1,"[2133, 2134)",1656,2133,2134
24,NC_030948-15,1,"[2140, 2715)",2230,2140,2715
25,NC_030948-15,1,"[2721, 2753)",2261,2721,2753
26,NC_030948-15,1,"[2754, 3162)",2668,2754,3162
27,NC_030948-15,1,"[3220, 3264)",2711,3220,3264
28,NC_030948-15,1,"[3407, 3409)",2712,3407,3409
29,NC_030948-15,1,"[3410, 3466)",2767,3410,3466
30,NC_030948-15,1,"[3468, 3550)",2848,3468,3550
31,NC_030948-15,1,"[3570, 3605)",2882,3570,3605
32,NC_030948-15,1,"[3606, 3609)",2884,3606,3609
33,NC_030948-15,1,"[3614, 3664)",2933,3614,3664
34,NC_030948-15,1,"[3734, 3774)",2972,3734,3774
35,NC_030948-15,1,"[3876, 3976)",3071,3876,3976
36,NC_030948-15,1,"[3978, 4525)",3617,3978,4525
37,NC_030948-15,1,"[4590, 4593)",3619,4590,4593
38,NC_030948-15,1,"[4606, 4692)",3704,4606,4692
39,NC_030948-15,1,"[4696, 4699)",3706,4696,4699
40,NC_030948-15,1,"[4747, 4881)",3839,4747,4881
41,NC_030948-15,1,"[4883, 4885)",3840,4883,4885
42,NC_030948-15,1,"[4889, 4896)",3846,4889,4896
43,NC_030948-15,1,"[5304, 5335)",3876,5304,5335
44,NC_030948-15,1,"[5483, 5486)",3878,5483,5486
45,NC_030948-15,1,"[5489, 5491)",3879,5489,5491
46,NC_030948-15,1,"[5499, 5511)",3890,5499,5511
47,NC_030948-15,1,"[5515, 5519)",3893,5515,5519
48,NC_030948-15,1,"[5523, 5536)",3905,5523,5536
49,NC_030948-15,1,"[5674, 5675)",3905,5674,5675
50,NC_030948-15,1,"[5682, 5712)",3934,5682,5712
51,NC_030948-15,1,"[5814, 5887)",4006,5814,5887
52,NC_030948-15,1,"[5919, 6018)",4104,5919,6018
0,NC_030948-16,1,"[0, 306)",305,0,306
1,NC_030948-16,1,"[393, 484)",395,393,484
2,NC_030948-16,1,"[510, 674)",558,510,674
3,NC_030948-16,1,"[675, 676)",558,675,676
4,NC_030948-16,1,"[701, 816)",672,701,816
5,NC_030948-16,1,"[877, 964)",758,877,964
6,NC_030948-16,1,"[965, 972)",764,965,972
7,NC_030948-16,1,"[979, 980)",764,979,980
8,NC_030948-16,1,"[1020, 1122)",865,1020,1122
9,NC_030948-16,1,"[1209, 1211)",866,1209,1211
10,NC_030948-16,1,"[1221, 1224)",868,1221,1224
